Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.86     0.00        6     0.00     0.00  alloc_generic_table
  0.00      2.86     0.00        6     0.00     0.00  camlUtil__pnt_1204
  0.00      2.86     0.00        6     0.00     0.00  camlVmr0__print_rcd_tkn_2312
  0.00      2.86     0.00        6     0.00     0.00  camlVmr0__print_tkn_2313
  0.00      2.86     0.00        6     0.00     0.00  camlWeak__create_1352
  0.00      2.86     0.00        6     0.00     0.00  caml_insert_global_root
  0.00      2.86     0.00        6     0.00     0.00  caml_int64_float_of_bits_unboxed
  0.00      2.86     0.00        6     0.00     0.00  caml_register_global_root
  0.00      2.86     0.00        6     0.00     0.00  caml_secure_getenv
  0.00      2.86     0.00        6     0.00     0.00  caml_write_fd
  0.00      2.86     0.00        5     0.00     0.00  camlVmr0__fun_4990
  0.00      2.86     0.00        5     0.00     0.00  caml_adjust_gc_speed
  0.00      2.86     0.00        5     0.00     0.00  caml_alloc
  0.00      2.86     0.00        5     0.00     0.00  caml_ephe_create
  0.00      2.86     0.00        5     0.00     0.00  caml_open_descriptor_in
  0.00      2.86     0.00        5     0.00     0.00  caml_register_custom_operations
  0.00      2.86     0.00        5     0.00     0.00  caml_weak_create
  0.00      2.86     0.00        4     0.00     0.00  camlArray__to_list_1285
  0.00      2.86     0.00        4     0.00     0.00  camlArray__tolist_1287
  0.00      2.86     0.00        4     0.00     0.00  camlList__iter_1272
  0.00      2.86     0.00        4     0.00     0.00  camlTypes__$2a$7c_3822
  0.00      2.86     0.00        4     0.00     0.00  camlTypes__fun_4892
  0.00      2.86     0.00        4     0.00     0.00  camlUtil__string_of_list_1207
  0.00      2.86     0.00        4     0.00     0.00  caml_alloc_dummy
  0.00      2.86     0.00        4     0.00     0.00  caml_final_register
  0.00      2.86     0.00        4     0.00     0.00  caml_make_free_blocks
  0.00      2.86     0.00        4     0.00     0.00  caml_register_named_value
  0.00      2.86     0.00        4     0.00     0.00  caml_strdup
  0.00      2.86     0.00        4     0.00     0.00  caml_update_dummy
  0.00      2.86     0.00        4     0.00     0.00  generic_final_register
  0.00      2.86     0.00        3     0.00     0.00  camlArray__blit_1246
  0.00      2.86     0.00        3     0.00     0.00  camlList__fold_right_1292
  0.00      2.86     0.00        3     0.00     0.00  camlPervasives__min_1027
  0.00      2.86     0.00        3     0.00     0.00  camlSet__Make_1245
  0.00      2.86     0.00        3     0.00     0.00  camlSet__fun_2940
  0.00      2.86     0.00        3     0.00     0.00  camlVmr0__print_arr_2310
  0.00      2.86     0.00        3     0.00     0.00  camlWeak__add_1431
  0.00      2.86     0.00        3     0.00     0.00  camlWeak__add_aux_1403
  0.00      2.86     0.00        3     0.00     0.00  camlWeak__fun_1843
  0.00      2.86     0.00        3     0.00     0.00  camlWeak__loop_1425
  0.00      2.86     0.00        3     0.00     0.00  caml_aligned_malloc
  0.00      2.86     0.00        3     0.00     0.00  caml_array_blit
  0.00      2.86     0.00        3     0.00     0.00  caml_convert_flag_list
  0.00      2.86     0.00        3     0.00     0.00  caml_enter_blocking_section_default
  0.00      2.86     0.00        3     0.00     0.00  caml_ephe_blit_key
  0.00      2.86     0.00        3     0.00     0.00  caml_ephe_set_key_option
  0.00      2.86     0.00        3     0.00     0.00  caml_int_of_string
  0.00      2.86     0.00        3     0.00     0.00  caml_leave_blocking_section_default
  0.00      2.86     0.00        3     0.00     0.00  caml_lessequal
  0.00      2.86     0.00        3     0.00     0.00  caml_ml_open_descriptor_out
  0.00      2.86     0.00        3     0.00     0.00  caml_open_descriptor_out
  0.00      2.86     0.00        3     0.00     0.00  caml_weak_blit
  0.00      2.86     0.00        3     0.00     0.00  caml_weak_set
  0.00      2.86     0.00        3     0.00     0.00  compare_val
  0.00      2.86     0.00        3     0.00     0.00  do_set
  0.00      2.86     0.00        3     0.00     0.00  intern_rec
  0.00      2.86     0.00        3     0.00     0.00  parse_intnat
  0.00      2.86     0.00        3     0.00     0.00  parse_sign_and_base
  0.00      2.86     0.00        2     0.00     0.00  camlBytes__make_1216
  0.00      2.86     0.00        2     0.00     0.00  camlSys__set_signal_1250
  0.00      2.86     0.00        2     0.00     0.00  camlTypes__$2a$2a_3811
  0.00      2.86     0.00        2     0.00     0.00  camlTypes__coprd_cl_3835
  0.00      2.86     0.00        2     0.00     0.00  camlTypes__fun_4874
  0.00      2.86     0.00        2     0.00     0.00  camlVmr0__Net_2190
  0.00      2.86     0.00        2     0.00     0.00  camlWeak__Make_1293
  0.00      2.86     0.00        2     0.00     0.00  caml_alloc_for_heap
  0.00      2.86     0.00        2     0.00     0.00  caml_channel_binary_mode
  0.00      2.86     0.00        2     0.00     0.00  caml_convert_signal_number
  0.00      2.86     0.00        2     0.00     0.00  caml_copy_string
  0.00      2.86     0.00        2     0.00     0.00  caml_cplugins_load
  0.00      2.86     0.00        2     0.00     0.00  caml_fill_bytes
  0.00      2.86     0.00        2     0.00     0.00  caml_final_invert_finalisable_values
  0.00      2.86     0.00        2     0.00     0.00  caml_fl_reset
  0.00      2.86     0.00        2     0.00     0.00  caml_getblock
