Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.32     0.00       51     0.00     0.00  camlImp_parser___menhir_run119_3203
  0.00      0.32     0.00       49     0.00     0.00  camlImp_parser___menhir_goto_glb_etr_clique_3094
  0.00      0.32     0.00       48     0.00     0.00  camlImp_parser___menhir_goto_ir_ptn_cst_3170
  0.00      0.32     0.00       48     0.00     0.00  camlImp_parser___menhir_run3_3222
  0.00      0.32     0.00       46     0.00     0.00  camlImp_parser___menhir_goto_def_typ_3213
  0.00      0.32     0.00       46     0.00     0.00  caml_aligned_malloc
  0.00      0.32     0.00       46     0.00     0.00  generic_final_update
  0.00      0.32     0.00       45     0.00     0.00  caml_alloc_for_heap
  0.00      0.32     0.00       44     0.00     0.97  caml_add_to_heap
  0.00      0.32     0.00       44     0.00     0.00  caml_fl_add_blocks
  0.00      0.32     0.00       44     0.00     0.97  expand_heap
  0.00      0.32     0.00       43     0.00     0.00  camlImp_parser___menhir_goto_def_coprd_3133
  0.00      0.32     0.00       42     0.00     0.00  camlImp_parser___menhir_run262_3159
  0.00      0.32     0.00       39     0.00     0.00  camlImp_parser___menhir_goto_eq_def_3193
  0.00      0.32     0.00       39     0.00     0.00  camlUtil__add_1227
  0.00      0.32     0.00       38     0.00     0.00  camlImp_parser___menhir_run129_3179
  0.00      0.32     0.00       38     0.00     0.00  caml_alloc
  0.00      0.32     0.00       35     0.00     0.00  camlImp_parser___menhir_goto_args_3124
  0.00      0.32     0.00       35     0.00     0.00  camlImp_parser___menhir_run260_3157
  0.00      0.32     0.00       35     0.00     0.01  camlImp_parser___menhir_run353_3164
  0.00      0.32     0.00       35     0.00     0.00  camlImp_parser___menhir_run88_3173
  0.00      0.32     0.00       34     0.00     0.00  caml_alloc_dummy
  0.00      0.32     0.00       34     0.00     0.00  caml_update_dummy
  0.00      0.32     0.00       33     0.00     0.00  camlImp_parser___menhir_run294_3100
  0.00      0.32     0.00       32     0.00     0.00  camlImp_parser___menhir_run261_3158
  0.00      0.32     0.00       32     0.00     0.00  camlImp_parser___menhir_run263_3160
  0.00      0.32     0.00       26     0.00     0.00  camlImp_parser___menhir_run349_3234
  0.00      0.32     0.00       26     0.00     0.25  caml_garbage_collection
  0.00      0.32     0.00       25     0.00     0.01  camlImp_parser___menhir_run39_3231
  0.00      0.32     0.00       24     0.00     0.00  caml_fl_init_merge
  0.00      0.32     0.00       23     0.00     0.13  caml_darken_all_roots_slice
  0.00      0.32     0.00       23     0.00     0.00  caml_darken_all_roots_start
  0.00      0.32     0.00       23     0.00     0.15  caml_do_local_roots
  0.00      0.32     0.00       23     0.00     0.15  caml_do_roots
  0.00      0.32     0.00       23     0.00     0.00  caml_final_do_roots
