Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        2     0.00     0.00  camlBatString__explode_1841
  0.00      0.00     0.00        2     0.00     0.00  camlBatString__fold_left_1803
  0.00      0.00     0.00        2     0.00     0.00  camlBatString__trim_1922
  0.00      0.00     0.00        2     0.00     0.00  camlCamlinternalOO__get_variable_1503
  0.00      0.00     0.00        2     0.00     0.00  camlDigest__bytes_1211
  0.00      0.00     0.00        2     0.00     0.00  camlDigest__from_hex_1238
  0.00      0.00     0.00        2     0.00     0.00  camlDigest__string_1209
  0.00      0.00     0.00        2     0.00     0.00  camlRandom__nativeint_1296
  0.00      0.00     0.00        2     0.00     0.00  caml_ba_fill
  0.00      0.00     0.00        2     0.00     0.00  caml_gc_quick_stat
  0.00      0.00     0.00        2     0.00     0.00  caml_md5_channel
  0.00      0.00     0.00        2     0.00     0.00  extern_value
  0.00      0.00     0.00        2     0.00     0.00  intern_rec
  0.00      0.00     0.00        2     0.00     0.00  st_check_error
  0.00      0.00     0.00        1     0.00     0.00  add_nat_native
  0.00      0.00     0.00        1     0.00     0.00  bng_generic_mult_add
  0.00      0.00     0.00        1     0.00     0.00  bng_generic_sub
  0.00      0.00     0.00        1     0.00     0.00  camlBatEnum__arg_max_1804
  0.00      0.00     0.00        1     0.00     0.00  camlBatEnum__aux_2135
  0.00      0.00     0.00        1     0.00     0.00  camlBatEnum__fun_3655
  0.00      0.00     0.00        1     0.00     0.00  camlBatEnum__interleave_1873
  0.00      0.00     0.00        1     0.00     0.00  camlBatEnum__print_at_most_inner_3760
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerIO__entry
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerIO__flush_all_1651
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerIO__input_1607
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerIO__read_float_1821
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerIO__read_i64_1810
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerIO__really_nread_1622
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerIO__weak_iter_1243
  0.00      0.00     0.00        1     0.00     0.00  camlBatInnerWeaktbl__entry
  0.00      0.00     0.00        1     0.00     0.00  camlBatInt32__fun_2489
  0.00      0.00     0.00        1     0.00     0.00  camlBatInt64__entry
  0.00      0.00     0.00        1     0.00     0.00  camlBatMap__any_4283
  0.00      0.00     0.00        1     0.00     0.00  camlBatMap__concat_1996
  0.00      0.00     0.00        1     0.00     0.00  camlBatMap__extract_4234
  0.00      0.00     0.00        1     0.00     0.00  camlBatMap__find_4068
  0.00      0.00     0.00        1     0.00     0.00  camlBatMap__make_1712
  0.00      0.00     0.00        1     0.00     0.00  camlBatMap__union_2065
  0.00      0.00     0.00        1     0.00     0.00  camlBatNativeint__entry
  0.00      0.00     0.00        1     0.00     0.00  camlBatNativeint__fun_2166
  0.00      0.00     0.00        1     0.00     0.00  camlBatNativeint__modulo_1275
  0.00      0.00     0.00        1     0.00     0.00  camlBatPrintf__fun_2173
  0.00      0.00     0.00        1     0.00     0.00  camlBatString__mapi_1763
  0.00      0.00     0.00        1     0.00     0.00  camlBatString__rcontains_from_2260
  0.00      0.00     0.00        1     0.00     0.00  camlBatString__to_int_2210
  0.00      0.00     0.00        1     0.00     0.00  camlCamlinternalOO__fun_2180
  0.00      0.00     0.00        1     0.00     0.00  camlCamlinternalOO__fun_2195
  0.00      0.00     0.00        1     0.00     0.00  camlCamlinternalOO__fun_2207
  0.00      0.00     0.00        1     0.00     0.00  camlCamlinternalOO__lookup_keys_1609
  0.00      0.00     0.00        1     0.00     0.00  camlCamlinternalOO__make_class_1532
  0.00      0.00     0.00        1     0.00     0.00  camlCamlinternalOO__narrow_1449
  0.00      0.00     0.00        1     0.00     0.00  camlDigest__to_hex_1233
  0.00      0.00     0.00        1     0.00     0.00  camlHashtbl__power_2_above_1333
  0.00      0.00     0.00        1     0.00     0.00  camlPeg__parse_pattern_atm_1289
  0.00      0.00     0.00        1     0.00     0.00  camlPrintexc__handle_uncaught_exception$27_1449
  0.00      0.00     0.00        1     0.00     0.00  camlRandom__bits_1289
  0.00      0.00     0.00        1     0.00     0.00  camlRandom__float_1283
  0.00      0.00     0.00        1     0.00     0.00  camlRandom__new_state_1209
  0.00      0.00     0.00        1     0.00     0.00  camlWeak__entry
  0.00      0.00     0.00        1     0.00     0.00  camlWeak__iter_weak_1375
  0.00      0.00     0.00        1     0.00     0.00  caml_ba_unmap_file
  0.00      0.00     0.00        1     0.00     0.00  caml_condition_wait
  0.00      0.00     0.00        1     0.00     0.00  caml_deserialize_sint_4
  0.00      0.00     0.00        1     0.00     0.00  caml_ephe_check_data
  0.00      0.00     0.00        1     0.00     0.00  caml_ephe_get_key_copy
  0.00      0.00     0.00        1     0.00     0.00  caml_hash_mix_int64
  0.00      0.00     0.00        1     0.00     0.00  caml_sys_remove
  0.00      0.00     0.00        1     0.00     0.00  caml_thread_tick
  0.00      0.00     0.00        1     0.00     0.00  core_setpwent
  0.00      0.00     0.00        1     0.00     0.00  core_unix_iff_to_int
  0.00      0.00     0.00        1     0.00     0.00  shift_right_nat
  0.00      0.00     0.00        1     0.00     0.00  sockaddr_to_caml_string_of_octets

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) no time propagated

index % time    self  children    called     name
[1]      0.0    0.00    0.00   21841+713     <cycle 1 as a whole> [1]
                0.00    0.00   20918             camlBatInnerWeaktbl__add_1535 <cycle 1> [3]
                0.00    0.00     717             camlBatMap__loop_1915 <cycle 1> [9]
                0.00    0.00     405             camlBatString__entry <cycle 1> [12]
                0.00    0.00      95+108         camlBatInt__entry <cycle 1> [31]
                0.00    0.00      30+40          camlHashtbl__resize_1368 <cycle 1> [62]
                0.00    0.00      61             camlCamlinternalOO__method_impl_1762 <cycle 1> [40]
                0.00    0.00      55+2           camlBatString__edit_distance_2029 <cycle 1> [44]
                0.00    0.00      56             camlBatBitSet__mem_1357 <cycle 1> [43]
                0.00    0.00      42             camlBatMap__loop_1883 <cycle 1> [52]
                0.00    0.00      35             camlBatMap__loop_1893 <cycle 1> [56]
                0.00    0.00      33             camlBatInt32__unpack_1602 <cycle 1> [59]
                0.00    0.00      27             camlBatMap__loop_1874 <cycle 1> [63]
                0.00    0.00      22             camlBatInt32__pack_big_1595 <cycle 1> [65]
                0.00    0.00      15             camlBatEnum__next_1752 <cycle 1> [71]
                0.00    0.00      11             camlBatPrintf__kapr_1499 <cycle 1> [79]
                0.00    0.00       7             camlBatMap__at_rank_exn_1425 <cycle 1> [88]
                0.00    0.00       5             camlBatEnum__entry <cycle 1> [93]
                0.00    0.00       3             camlBatInnerIO__write_i64_1849 <cycle 1> [101]
                0.00    0.00       2             camlBatEnum__fun_3791 <cycle 1> [115]
                0.00    0.00       2             camlBatString__fold_left_1803 <cycle 1> [128]
                0.00    0.00       2             camlBatString__explode_1841 <cycle 1> [127]
                0.00    0.00       2             camlBatString__trim_1922 <cycle 1> [129]
                0.00    0.00       2             camlBatMap__fun_6106 <cycle 1> [122]
                0.00    0.00       1             camlBatMap__make_1712 <cycle 1> [163]
                0.00    0.00       1             camlBatInt64__entry <cycle 1> [158]
                0.00    0.00       1             camlBatInnerWeaktbl__entry <cycle 1> [156]
                0.00    0.00       1             camlBatEnum__aux_2135 <cycle 1> [145]
                0.00    0.00       1             camlBatInnerIO__read_i64_1810 <cycle 1> [153]
                0.00    0.00       1             camlBatInnerIO__entry <cycle 1> [149]
                0.00    0.00       1             camlBatEnum__interleave_1873 <cycle 1> [147]
-----------------------------------------------
[2]      0.0    0.00    0.00     157+2568    <cycle 2 as a whole> [2]
                0.00    0.00    1392             camlBatBitSet__count_1478 <cycle 2> [7]
                0.00    0.00    1007             camlBatPrintf__pr_1652 <cycle 2> [8]
                0.00    0.00     190             camlHashtbl__find_in_bucket_1449 <cycle 2> [19]
                0.00    0.00      85             camlBatMap__make_1543 <cycle 2> [32]
                0.00    0.00      51             camlBatMap__enum_next_1516 <cycle 2> [47]
-----------------------------------------------
                                   2             camlBatInt__entry <cycle 1> [31]
                                   4             camlBatPrintf__kapr_1499 <cycle 1> [79]
                                  45             camlHashtbl__resize_1368 <cycle 1> [62]
                                 108             camlCamlinternalOO__method_impl_1762 <cycle 1> [40]
                0.00    0.00       1/21841       camlUtil__string_abr_1335 [4205]
                0.00    0.00       1/21841       camlBatPrintf__fun_2176 [1911]
                0.00    0.00       1/21841       camlBatInt32__entry [1143]
                0.00    0.00       1/21841       camlBatInt64__fun_2184 [1185]
                0.00    0.00       1/21841       camlBatInt64__fun_2182 [1184]
                0.00    0.00       1/21841       camlBatList__take_while_1358 [1532]
                0.00    0.00       2/21841       camlBatInt32__unpack_big_1610 [1173]
                0.00    0.00       2/21841       camlBatMap__bindings_aux_1493 [1573]
                0.00    0.00       3/21841       caml_callbackN_exn [4392]
                0.00    0.00       6/21841       camlBatList__loop_1387 [1419]
                0.00    0.00     637/21841       caml_gc_quick_stat [136]
                0.00    0.00   20103/21841       camlList__sort_uniq_1538 [3278]
[3]      0.0    0.00    0.00   20918         camlBatInnerWeaktbl__add_1535 <cycle 1> [3]
                0.00    0.00       2/5304        camlGc__print_stat_1256 [5]
                0.00    0.00       1/2           camlBatMap__enum_4143 [121]
                0.00    0.00       1/1           camlBatInt32__fun_2489 [157]
                0.00    0.00       1/135         camlBatMap__create_4090 [26]
                0.00    0.00       1/224         camlGc__create_alarm_1296 [17]
                0.00    0.00       1/2           camlDigest__bytes_1211 [131]
                0.00    0.00       1/2           camlDigest__string_1209 [133]
                0.00    0.00       1/136         camlDigest__file_1221 [23]
                0.00    0.00       1/1           camlDigest__to_hex_1233 [178]
                                   1             camlBatInnerWeaktbl__entry <cycle 1> [156]
                                   1             camlBatInt64__entry <cycle 1> [158]
                                   1             camlBatMap__make_1712 <cycle 1> [163]
-----------------------------------------------
                0.00    0.00       1/20686       camlBatMap__concat_or_join_2003 [1591]
                0.00    0.00       3/20686       camlBatMap__loop_1979 [102]
                0.00    0.00       6/20686       camlBatBitSet__extend_1328 [468]
                0.00    0.00      12/20686       camlBatBitSet__apply_bit_op_1336 [451]
                0.00    0.00      14/20686       camlBatMap__loop_1915 <cycle 1> [9]
                0.00    0.00      28/20686       camlBatBitSet__mem_1357 <cycle 1> [43]
                0.00    0.00      81/20686       camlBatPrintf__format_string_1365 [1905]
                0.00    0.00     114/20686       camlBatPrintf__sub_fmt_1419 [10]
                0.00    0.00     115/20686       camlBatPrintf__extract_format_1370 [1904]
                0.00    0.00     166/20686       camlBatFloat__entry [53]
                0.00    0.00     252/20686       camlBatPrintf__sub_1423 [1946]
                0.00    0.00   19894/20686       camlList__sort_uniq_1538 [3278]
[4]      0.0    0.00    0.00   20686         camlBatPrintf__parse_1354 [4]
-----------------------------------------------
                0.00    0.00       1/5304        camlBatMap__concat_or_join_2003 [1591]
                0.00    0.00       2/5304        camlBatInnerWeaktbl__add_1535 <cycle 1> [3]
                0.00    0.00       2/5304        camlBatMap__fun_6000 [1646]
